天数（自2016年001天起算，北京时间）小时 分钟 秒 模板号
257 16 49 53.4 4
257 16 5 12.1 9
257 16 5 31.9 4
257 16 5 9 4
257 16 50 2.2 4
257 16 51 47.7 4
257 16 52 2.5 4
257 16 52 21.5 4
257 16 52 30.4 4
257 16 53 7 4
257 16 55 13.9 2
257 16 6 50 5
257 16 7 16.8 4
257 16 7 37.4 4
257 16 7 47.8 8
257 17 1 3.2 4
257 17 12 32.3 4
257 17 14 30.5 4
257 17 15 10.4 2
257 17 15 36.6 2
257 17 16 19.2 8
257 17 17 20 4
257 17 17 23.7 11
257 17 17 31.3 1
257 17 17 43.8 8
257 17 18 5.7 4
257 17 19 27.4 7
257 17 22 22.2 4
257 17 25 30.2 4
257 17 27 17.8 2
257 17 27 55.9 4
257 17 32 29.6 11
257 17 35 58.6 5
257 17 37 35 1
257 17 40 17.5 3
257 17 54 55 4
257 18 1 14.3 5
257 18 1 4 3
257 18 10 42.4 2
257 18 15 37.6 5
257 18 17 42.4 4
257 18 21 36.4 4
257 18 23 39.1 2
257 18 25 35.5 4
257 18 26 40.6 4
257 18 27 23.8 2
257 18 30 39.1 10
257 18 30 47.9 4
257 18 31 13.6 4
257 18 33 10.9 6
257 18 33 2.1 11
257 18 36 36.8 2
257 18 39 56.9 3
257 18 40 59.1 4
257 18 48 6.1 1
257 18 49 5.6 4
257 18 50 53 2
257 18 51 27.8 8
257 18 55 48.1 1
257 18 56 47.6 1
257 18 8 25 8
257 18 8 29.2 8
257 18 9 50.4 4
257 18 9 55.1 7
257 19 10 10 9
257 19 10 11.6 4
257 19 10 14.7 8
257 19 10 18.9 4
257 19 10 5.3 2
257 19 10 7.3 8
257 19 12 2 4
257 19 12 56.9 4
257 19 13 28.8 5
257 19 19 51.6 5
257 19 21 18.9 4
257 19 24 21.4 11
257 19 3 34.2 4
257 19 36 53.1 1
257 19 37 19.1 4
257 19 49 11.9 5
257 19 8 18.2 8
257 19 8 20 2
257 19 8 48.9 4
257 19 9 51 2
257 19 9 55.4 8
257 19 9 57 2
257 2 1 28.1 11
257 2 1 58.5 3
257 2 10 6.1 5
257 2 16 54.7 2
257 2 17 17.3 4
257 2 19 44.7 2
257 2 19 54.1 2
257 2 25 24.3 4
257 2 32 28.2 1
257 2 32 53.1 3
257 2 32 56.4 10
257 2 34 51.4 7
257 2 37 13.5 5
257 2 39 39.7 2
257 2 4 27.9 2
257 2 4 38.2 2
257 2 43 57 1
257 2 45 29.7 1
257 2 48 59 10
257 20 0 0.7 10
257 20 1 51.6 2
257 20 10 52 9
257 20 11 42 1
257 20 13 32.7 7
257 20 28 55.5 10
257 20 30 46.4 3
257 20 31 42.6 10
257 20 34 4.6 2
257 20 38 25.2 1
257 20 43 0.9 4
257 20 44 13.6 4
257 20 47 28.9 5
257 20 54 54.2 2
257 20 55 48.8 9
257 20 58 57.7 2
257 20 59 39.9 1
257 21 1 55.9 1
257 21 11 52.5 5
257 21 16 19.4 4
257 21 16 46.4 3
257 21 21 56.9 5
257 21 28 9.4 2
257 21 3 22.5 1
257 21 31 0.2 2
257 21 39 27.5 10
257 21 45 6.2 4
257 21 5 11.8 1
257 21 55 44.8 2
257 21 57 44.1 4
257 21 8 25.9 9
257 22 10 14.7 1
257 22 10 37 4
257 22 14 13.9 6
257 22 17 11 1
257 22 28 9.7 2
257 22 31 39 2
257 22 34 12.8 1
257 22 38 30.6 4
257 22 41 50.8 4
257 22 44 20.5 3
257 22 49 24.8 5
257 22 52 57.1 10
257 22 53 35.8 8
257 22 9 26.6 9
257 23 11 1.7 3
257 23 13 26.7 3
257 23 13 9.8 1
257 23 14 29.7 3
257 23 16 27.7 3
257 23 23 8.4 1
257 23 26 59.3 5
257 23 34 7.8 1
257 23 38 32 1
257 23 46 25 4
257 23 49 41.5 5
257 23 5 20.3 3
257 23 51 23.1 7
257 23 51 41 1
257 23 52 11.5 1
257 23 52 31.5 5
257 23 52 37.5 1
257 23 52 52.6 4
257 23 52 9.6 4
257 23 53 44.4 1
257 3 11 50.2 3
257 3 14 42.1 3
257 3 18 10.2 3
257 3 18 17.1 3
257 3 18 4.4 4
257 3 20 12.2 4
257 3 23 58.2 4
257 3 24 48.7 1
257 3 27 56.7 4
257 3 30 16.6 10
257 3 30 46.5 1
257 3 37 12.9 3
257 3 38 54.4 3
257 3 4 39 7
257 3 4 50 7
257 3 49 59 12
257 3 53 36 9
257 3 54 3 6
257 3 58 23 1
257 4 13 50 4
257 4 19 16 4
257 4 20 30 5
257 4 25 6 4
257 4 26 42 1
257 4 27 14 11
257 4 34 36 8
257 4 37 2 5
257 4 38 14 1
